School,Conference
University Of Alabama,SEC
University Of Florida,SEC
University of Georgia,SEC
LSU,SEC
University of Miami,ACC
Duke University,ACC
UNC-Chapel Hill,ACC
Ohio State University,Big Ten
UTA,Big 12
University of Tennessee,SEC
Campbell University,CAA
University Of Pittsburgh,ACC
Rice University,American
Coastal Carolina University,Sun Belt
Dallas Baptist University (DBU),Conference USA
Louisiana Tech University ,Conference USA
Southern Indiana ,OVC
"University of California, Irvine",Big West
" University of California, Santa Barbara",Big West
Mississippi State University,SEC

